"GRPSORT","SNAME","COMMON_NAME","AUTHOR","SYNONYMY","ALTSYN","GRANK","SRANK","FEDSTAT","SPROT","TRK"
"VAS","Diplachne maritima","Bearded Sprangletop","<i>Diplachne maritima</i> Bickn.","<i>Leptochloa fascicularis</i> var. <i>maritima</i>","","G3G4","S3","","","Watch List"
"VAS","Drosera brevifolia","Dwarf Sundew","<i>Drosera brevifolia</i> Pursh","<i>Drosera leucantha</i>","","G5","S3","","","Watch List"
"VAS","Drosera capillaris","Pink Sundew","<i>Drosera capillaris</i> Poir.","","","G5","S3","","","Watch List"
"VAS","Drosera intermedia","Water Sundew","<i>Drosera intermedia</i> Hayne","","","G5","S3","","","Watch List"
"VAS","Dryopteris campyloptera","Mountain Wood Fern","<i>Dryopteris campyloptera</i> Clarkson","<i>Dryopteris spinulosa</i> var. <i>americana</i>","","G5","S3","","","Watch List"
"VAS","Echinodorus cordifolius","Creeping Burhead","<i>Echinodorus cordifolius</i> (L.) Griseb.","","","G5","S3","","","Watch List"
"VAS","Eleocharis albida","White Spikerush","<i>Eleocharis albida</i> Torr.","","","G4G5","S3","","","Watch List"
"VAS","Eleocharis palustris","Common Spikerush","<i>Eleocharis palustris</i> (L.) Roemer & J.A. Schultes","","","G5","S3?","","","Watch List"
"VAS","Eleocharis rostellata","Beaked Spikerush","<i>Eleocharis rostellata</i> (Torr.) Torr.","","","G5","S3","","","Watch List"
"VAS","Endotropis lanceolata","Lance-leaf Buckthorn","<i>Endotropis lanceolata</i> (Pursh) Hauenschild","<i>Rhamnus lanceolata</i>","","G5","S3","","","Watch List"
"VAS","Erigenia bulbosa","Harbinger-of-spring","<i>Erigenia bulbosa</i> (Michx.) Nutt.","","","G5","S3","","","Watch List"
"VAS","Eriophorum virginicum","Tawny Cottongrass","<i>Eriophorum virginicum</i> L.","","","G5","S3","","","Watch List"
"VAS","Eurybia spectabilis","Showy Aster","<i>Eurybia spectabilis</i> (Ait.) Nesom","","","G5","S3","","","Watch List"
"VAS","Fallopia cilinodis","Fringed Bindweed","<i>Fallopia cilinodis</i> (Michx.) Holub","","","G5","S3","","","Watch List"
"VAS","Floerkea proserpinacoides","False Mermaid","<i>Floerkea proserpinacoides</i> Willd.","","","G5","S3","","","Watch List"
"VAS","Frangula caroliniana","Carolina Buckthorn","<i>Frangula caroliniana</i> (Walt.) Gray","","","G5","S3","","","Watch List"
"VAS","Fraxinus nigra","Black Ash","<i>Fraxinus nigra</i> Marsh.","","","G5","S3","","","Watch List"
"VAS","Fraxinus quadrangulata","Blue Ash","<i>Fraxinus quadrangulata</i> Michx.","","","G4","S3","","","Watch List"
"VAS","Galium bermudense","Coastal Bedstraw","<i>Galium bermudense</i> Linnaeus","<i>Galium hispidulum</i>","","G5","S3","","","Watch List"
"VAS","Galium boreale","Northern Bedstraw","<i>Galium boreale</i> L.","","","G5","S3","","","Watch List"
"VAS","Gentiana austromontana","Appalachian Gentian","<i>Gentiana austromontana</i> Pringle & Sharp","","","G3","S3?","","","Watch List"
"VAS","Geranium robertianum","Herb Robert","<i>Geranium robertianum</i> L.","","","G5","S3","","","Watch List"
"VAS","Glyceria acutiflora","Sharp-scaled Mannagrass","<i>Glyceria acutiflora</i> Torr.","","","G5","S3","","","Watch List"
"VAS","Glyceria canadensis","Canada Mannagrass","<i>Glyceria canadensis</i> (Michx.) Trin.","","","G5","S3","","","Watch List"
"VAS","Gymnocarpium appalachianum","Appalachian Oak Fern","<i>Gymnocarpium appalachianum</i> Pryer","","","G3","S3","","","Watch List"
"VAS","Gymnocladus dioicus","Kentucky Coffee-tree","<i>Gymnocladus dioicus</i> (L.) K. Koch","","","G5","S3","","","Watch List"
"VAS","Gymnopogon brevifolius","Short-leaf Beard Grass","<i>Gymnopogon brevifolius</i> Trin.","","","G5","S3","","","Watch List"
"VAS","Helianthus hirsutus","Hairy Sunflower","<i>Helianthus hirsutus</i> Raf.","","","G5","S3","","","Watch List"
"VAS","Heuchera hispida","Purple Alumroot","<i>Heuchera hispida</i> Pursh","","","G5T3Q","S3?","","","Watch List"
"VAS","Heuchera parviflora var. parviflora","Small-flowered Alumroot","<i>Heuchera parviflora</i> Bartl. var. <i>parviflora</i>","","","G4T4","S3","","","Watch List"
"VAS","Hexalectris spicata","Crested Coralroot","<i>Hexalectris spicata</i> (Walt.) Barnh.","","","G5","S3","","","Watch List"
"VAS","Hexastylis lewisii","Lewis's Heartleaf","<i>Hexastylis lewisii</i> (Fern.) Blomquist & Oosting","","","G3","S3","","","Watch List"
"VAS","Hottonia inflata","Featherfoil","<i>Hottonia inflata</i> Ell.","","","G4","S3","","","Watch List"
"VAS","Hydrastis canadensis","Golden-seal","<i>Hydrastis canadensis</i> L.","","","G3G4","S3","","","Watch List"
"VAS","Hydrolea quadrivalvis","Waterpod","<i>Hydrolea quadrivalvis</i> Walt.","","","G5","S3","","","Watch List"
"VAS","Hypericum drummondii","Nits-and-lice","<i>Hypericum drummondii</i> (Grev. & Hook.) Torr. & Gray","","","G5","S3","","","Watch List"
"VAS","Hypericum mitchellianum","Blue Ridge St. John's-wort","<i>Hypericum mitchellianum</i> Rydb.","","","G3","S3","","","Watch List"
