"GRPSORT","SNAME","COMMON_NAME","AUTHOR","SYNONYMY","ALTSYN","GRANK","SRANK","FEDSTAT","SPROT","TRK"
"VAS","Cleistesiopsis bifaria","Small spreading pogonia","<i>Cleistesiopsis bifaria</i> (Fernald) Pansarin & F. Barros","","","G3G4","S2","","","Rare List"
"VAS","Cleistesiopsis divaricata","Large spreading pogonia","<i>Cleistesiopsis divaricata</i> (Linnaeus) Pansarin & F. Barros","","","G4","S1","","","Rare List"
"VAS","Cleistesiopsis oricamporum","Coastal Plain Small Spreading Pogonia","<i>Cleistesiopsis oricamporum</i> P.M. Brown","","","G3?","S1","","","Rare List"
"VAS","Clematis addisonii","Addison's Leatherflower","<i>Clematis addisonii</i> Britt.","","","G1G2","S1S2","","LE","Rare List"
"VAS","Clematis catesbyana","Satin-curls","<i>Clematis catesbyana</i> Pursh","","","G5","S1","","","Rare List"
"VAS","Clematis occidentalis var. occidentalis","Purple Clematis","<i>Clematis occidentalis</i> (Hornem.) DC. var. <i>occidentalis</i>","<i>Clematis verticillaris</i>","","G5T5","S1","","","Rare List"
"VAS","Clematis viticaulis","Millboro Leatherflower","<i>Clematis viticaulis</i> Steele","","","G1","S1S2","","LT","Rare List"
"VAS","Clinopodium arkansanum","Limestone calamint","<i>Clinopodium arkansanum</i> (Nutt.) House","<i>Satureja arkansana</i>","often confused with <i>Calamintha glabella</i> (Michx.) Benth.","G5","SH","","","Rare List"
"VAS","Cocculus carolinus","Carolina coralbead","<i>Cocculus carolinus</i> (L.) DC.","","Only native Virginia populations are monitored","G5","S1","","","Rare List"
"NB","Codriophorus aduncoides","A moss","<i>Codriophorus aduncoides</i> (Bednarek-Ochyra) Bednarek-Ochyra & Ochyra","","","GNR","SH","","","Rare List"
"VAS","Collinsia verna","Eastern blue-eyed mary","<i>Collinsia verna</i> Nutt.","","","G5","S1","","","Rare List"
"VAS","Collinsonia verticillata","Whorled horsebalm","<i>Collinsonia verticillata</i> Baldw.","","","G3G4","S1","","","Rare List"
"NB","Cololejeunea cardiocarpa","A liverwort","<i>Cololejeunea cardiocarpa</i> (Mont.) A. Evans","","","G4G5","SH","","","Rare List"
"NB","Conardia compacta","A moss","<i>Conardia compacta</i> (C. Mull.) Robins.","","","G5","SH","","","Rare List"
"VAS","Conioselinum chinense","Hemlock Parsley","<i>Conioselinum chinense</i> (L.) B.S.P.","","","G5","S1","","","Rare List"
"VAS","Corallorhiza bentleyi","Bentley's coralroot","<i>Corallorhiza bentleyi</i> Freudenstein","","","G2","S2","","LE","Rare List"
"VAS","Corallorhiza maculata var. occidentalis","Western Spotted Coralroot","<i>Corallorhiza maculata</i> (Raf.) Raf. var. <i>occidentalis</i> (Lindl.) Ames","","","G5T5","SH","","","Rare List"
"VAS","Corallorhiza trifida","Early Coralroot","<i>Corallorhiza trifida</i> Chatelain","","","G5","S1","","","Rare List"
"VAS","Coreopsis delphiniifolia","Larkspur coreopsis","<i>Coreopsis delphiniifolia</i> Lam.","","","G3?","S1","","","Rare List"
"VAS","Coreopsis falcata","Pool Coreopsis","<i>Coreopsis falcata</i> Boynt.","","","G4G5","S1","","","Rare List"
"VAS","Coreopsis linifolia","Savanna coreopsis","<i>Coreopsis linifolia</i> Nutt.","<i>Coreopsis oniscicarpa</i>","","G4Q","S1","","","Rare List"
"VAS","Cornus canadensis","Bunchberry","<i>Cornus canadensis</i> L.","","","G5","S1","","","Rare List"
"VAS","Cornus obliqua","Silky Dogwood","<i>Cornus obliqua</i> Raf.","","","G5","S1","","","Rare List"
"VAS","Cornus rugosa","Round-leaf dogwood","<i>Cornus rugosa</i> Lam.","","","G5","S1","","","Rare List"
"VAS","Coryphopteris simulata","Bog Fern","<i>Coryphopteris simulata</i> (Davenp.) S.E. Fawc.","<i>Thelypteris simulata</i>","","G4G5","S1S2","","","Rare List"
"NB","Coscinodon cribrosus","Copper coscinodon","<i>Coscinodon cribrosus</i> (Hedw.) Spruce","","","G3G4","S1","","","Rare List"
"VAS","Crataegus calpodendron","Pear Hawthorn","<i>Crataegus calpodendron</i> (Ehrh.) Medik.","","","G5","S1","","","Rare List"
"VAS","Crataegus mollis var. mollis","Downy hawthorn","<i>Crataegus mollis </i>Scheele var.<i> mollis</i>","","","G5T5","S1","","","Rare List"
"VAS","Crataegus succulenta var. neofluvialis","New River hawthorn ","<i>Crataegus succulenta</i> Schrad. ex Link var. <i>neofluvialis</i> Schrad. ex Link (Ashe) Palmer","","","G5TNR","SH","","","Rare List"
"VAS","Crataegus succulenta var. succulenta","Fleshy Hawthorn","<i>Crataegus succulenta </i>Schrad. ex Link var.<i> succulenta</i>","","","G5T5","S1","","","Rare List"
"VAS","Crocanthemum bicknellii","Plains Frostweed","<i>Crocanthemum bicknellii</i> (Fernald) Janchen","","","G5","S1","","","Rare List"
"VAS","Crocanthemum propinquum","Low Frostweed","<i>Crocanthemum propinquum</i> (Bickn.) Bickn.","","","G4","S1","","","Rare List"
"NB","Crossocalyx hellerianus","Heller's Notchwort","<i>Crossocalyx hellerianus</i> (Nees ex Lindenb.) Meyl.","","","G5","SH","","","Rare List"
"VAS","Crotalaria purshii","Pursh's rattlebox","<i>Crotalaria purshii</i> DC.","","","G5","S1","","","Rare List"
"VAS","Crotalaria rotundifolia","Prostrate Rattle-box","<i>Crotalaria rotundifolia</i> Walt. ex J.F. Gmel.","","","G5","SH","","","Rare List"
"NB","Cryphaea nervosa","A Moss","<i>Cryphaea nervosa</i> (Hook. & Wils. in Drumm.) C. Mull.","","","G4?","S1","","","Rare List"
"VAS","Ctenium aromaticum","Toothache Grass","<i>Ctenium aromaticum</i> (Walt.) Wood","","","G5","S1","","","Rare List"
"VAS","Cuscuta cephalanthi","Buttonbush dodder","<i>Cuscuta cephalanthi</i> Engelm.","","","G5","S1","","","Rare List"
"VAS","Cuscuta coryli","Hazel Dodder","<i>Cuscuta coryli</i> Engelm.","","","G4","S2","","","Rare List"
"VAS","Cuscuta indecora","Big-seed Alfalfa dodder","<i>Cuscuta indecora</i> Choisy","","","G5","S1","","","Rare List"
"VAS","Cuscuta polygonorum","Smartweed Dodder","<i>Cuscuta polygonorum</i> Engelm.","","","G4G5","S1","","","Rare List"
"VAS","Cuscuta rostrata","Beaked Dodder","<i>Cuscuta rostrata</i> Shuttlw. ex Engelm. & Gray","","","G4","S1S2","","","Rare List"
"VAS","Cuthbertia graminea","Grasslike roselings","<i>Cuthbertia graminea</i> Small","<i>Callisia graminea</i>, <i>Tradescantia rosea</i> var. <i>graminea</i>","","G5","S1","","","Rare List"
"VAS","Cyperus acuminatus","Taper-tip Flatsedge","<i>Cyperus acuminatus</i> Torr. & Hook. ex Torr.","","","G5","S1","","","Rare List"
"VAS","Cyperus dentatus","Toothed flatsedge","<i>Cyperus dentatus</i> Torr.","","","G4","S1","","","Rare List"
"VAS","Cyperus diandrus","Umbrella Flatsedge","<i>Cyperus diandrus</i> Torr.","","","G5?","S1","","","Rare List"
"VAS","Cyperus granitophilus","Granite flatsedge","<i>Cyperus granitophilus</i> McVaugh","","","G3G4","S1","","","Rare List"
"VAS","Cyperus houghtonii","Houghton's flatsedge","<i>Cyperus houghtonii</i> Torr.","","","G4?","SH","","","Rare List"
"VAS","Cyperus neotropicalis","American halfchaff sedge","<i>Cyperus neotropicalis</i> Alain","<i>Lipocarpha maculata</i>","","G5","S1","","","Rare List"
"VAS","Cyperus odoratus var. engelmannii","Slender sand sedge","<i>Cyperus odoratus</i> L. var. <i>engelmannii</i> (Steud.) R. Carter & S.D. Jones","","","G4Q","S1","","","Rare List"
"VAS","Cyperus plukenetii","Plukenet's flatsedge","<i>Cyperus plukenetii</i> Fern.","","","G5","S2","","","Rare List"
"VAS","Cyperus subsquarrosus","Small-flower halfchaff sedge","<i>Cyperus subsquarrosus</i> (Muhl.) Bauters","<i>Lipocarpha micrantha</i>","","G5","S2","","","Rare List"
"VAS","Cypripedium candidum","Small White Lady's-slipper","<i>Cypripedium candidum</i> Muhl. ex Willd.","","","G3G4","S1","","","Rare List"
"VAS","Cypripedium kentuckiense","Kentucky Lady's-slipper","<i>Cypripedium kentuckiense</i> C.F. Reed","","","G3","S1","","","Rare List"
"VAS","Cypripedium reginae","Showy Lady's-slipper","<i>Cypripedium reginae</i> Walt.","","","G4G5","S1","","","Rare List"
"VAS","Cystopteris tennesseensis","Tennessee bladder fern","<i>Cystopteris tennesseensis</i> Shaver","","","G5","S1","","","Rare List"
"VAS","Dasistoma macrophyllum","Mullein Foxglove","<i>Dasistoma macrophyllum</i> (Nutt.) Raf.","","","G4","S1","","","Rare List"
"VAS","Deschampsia cespitosa","Tufted Hairgrass","<i>Deschampsia cespitosa</i> (L.) Beauv.","","","G5","S1","","","Rare List"
"VAS","Desmodium canadense","Showy Tick-trefoil","<i>Desmodium canadense</i> (L.) DC.","","","G5","S1","","","Rare List"
"VAS","Desmodium cuspidatum","Toothed Tick-treefoil","<i>Desmodium cuspidatum</i> (Muhl. ex Willd.) DC. ex Loud.","","","G5","S2","","","Rare List"
"VAS","Desmodium ochroleucum","Cream-flowered tick-trefoil","<i>Desmodium ochroleucum</i> M.A. Curtis ex Canby","","","G2G3","S1","","","Rare List"
"VAS","Desmodium sessilifolium","Sessile-leaf Tick-trefoil","<i>Desmodium sessilifolium</i> (Torr.) Torr. & Gray","","","G5","S2","","","Rare List"
"VAS","Desmodium strictum","Pineland Tick-trefoil","<i>Desmodium strictum</i> (Pursh) DC.","","","G4","S2","","","Rare List"
"VAS","Desmodium tenuifolium","Slim-leaf Tick-trefoil","<i>Desmodium tenuifolium</i> Torr. & Gray","","","G4","S1","","","Rare List"
"VAS","Diamorpha smallii","Small's Stonecrop","<i>Diamorpha smallii</i> Britt. ex Small","<i>Sedum smallii</i>","","G4","S1","","","Rare List"
"VAS","Dichanthelium appalachiense","Shale Ridge Panic Grass","<i>Dichanthelium appalachiense</i> Townsend &amp; LeBlond","","","G1","S1","","","Rare List"
"VAS","Dichanthelium caerulescens","Blue Panic Grass","<i>Dichanthelium caerulescens</i> (Hack. ex A.S. Hitchc.) D.S. Correll","","","G3","S1","","","Rare List"
"VAS","Dichanthelium consanguineum","Blood panic grass","<i>Dichanthelium consanguineum</i> (Kunth) Gould & C.A. Clark","","","G5","S1S2","","","Rare List"
"VAS","Dichanthelium cryptanthum","Hidden-flowered panic grass","<i>Dichanthelium cryptanthum</i> (Ashe) LeBlond","","","G3Q","S1","","","Rare List"
"VAS","Dichanthelium curtifolium","Short-leaved witchgrass","<i>Dichanthelium curtifolium</i> (Nash) LeBlond","","","G4T3?","S1","","","Rare List"
"VAS","Dichanthelium harvillii","Harvill's Panic Grass","<i>Dichanthelium harvillii</i> Ludwig &amp; LeBlond","","","G1","S1","","","Rare List"
"VAS","Dichanthelium ovale var. ovale","Oval-flowered panic grass","<i>Dichanthelium ovale</i> (Ell.) Gould & C.A. Clark var. <i>ovale</i>","","","G5T5","S1?","","","Rare List"
"VAS","Dichanthelium spretum","Eaton's Panic Grass","<i>Dichanthelium spretum</i> (J.A. Schultes) Freckmann","<i>Panicum spretum</i>","","G5","S1","","","Rare List"
"VAS","Dichanthelium strigosum var. strigosum","Rough-hair panic grass","<i>Dichanthelium strigosum</i> (Muhl. ex Ell.) Freckmann var. <i>strigosum</i>","","","G5T5","SH","","","Rare List"
"NB","Dicranoweisia crispula","Mountain thatch moss","<i>Dicranoweisia crispula</i> (Hedw.) Lindb. ex Milde","","","G5","S1","","","Rare List"
"NB","Dicranum muehlenbeckii","A moss","<i>Dicranum muehlenbeckii</i> Bruch & Schimp. in B.S.G.","","","G5","SH","","","Rare List"
"VAS","Didiplis diandra","Water-purslane","<i>Didiplis diandra</i> (Nutt. ex DC.) Wood","<i>Peplis diandra</i>","","G3G4","S1","","","Rare List"
"VAS","Digitaria serotina","Dwarf Crabgrass","<i>Digitaria serotina</i> (Walt.) Michx.","","","G5?","S1","","","Rare List"
"NB","Diphyscium mucronifolium","Cumberland Grain o' Wheat Moss","<i>Diphyscium mucronifolium</i> Mitten","","","G4","S1","","","Rare List"
"NB","Diplophyllum andrewsii","Andrew's Earwort","<i>Diplophyllum andrewsii</i> Evans","","","G3","SH","","","Rare List"
"NB","Diplophyllum taxifolium","Yew-leaved earwort","<i>Diplophyllum taxifolium</i> (Wahlenb.) Dum.","","","G5","S1","","","Rare List"
"NB","Drepanolejeunea appalachiana","Appalachian threadwort","<i>Drepanolejeunea appalachiana</i> Schust.","","","G3","S1","","","Rare List"
"VAS","Drymocallis arguta","Tall Cinquefoil","<i>Drymocallis arguta</i> (Pursh) Rydb.","<i>Potentilla arguta</i>","","G5","S1","","","Rare List"
"VAS","Dryopteris clintoniana","Clinton's wood fern","<i>Dryopteris clintoniana</i> (D.C. Eat.) Dowell","","","G5","SH","","","Rare List"
"VAS","Echinacea laevigata","Smooth Coneflower","<i>Echinacea laevigata</i> (C.L. Boynt. & Beadle) Blake","","","G2G3","S2","LT","LT","Rare List"
"VAS","Echinocystis lobata","Wild cucumber","<i>Echinocystis lobata</i> (Michx.) Torr. & Gray","","","G5","SH","","","Rare List"
"VAS","Elatine minima","Small waterwort","<i>Elatine minima</i> (Nutt.) Fisch. & C.A. Mey.","","","G5","S1","","","Rare List"
"VAS","Eleocharis baldwinii","Baldwin's spikerush","<i>Eleocharis baldwinii</i> (Torr.) Chapman","","","G4G5","S1","","","Rare List"
"VAS","Eleocharis bifida","Bifid spikerush","<i>Eleocharis bifida</i> S.G. Sm.","","","G3G4","S1","","","Rare List"
"VAS","Eleocharis compressa var. compressa","Flattened spikerush","<i>Eleocharis compressa</i> Sullivant var. <i>compressa</i>","","","G5T5","S2","","","Rare List"
"VAS","Eleocharis elliptica","Elliptic Spikerush","<i>Eleocharis elliptica</i> Kunth","","","G5","S1","","","Rare List"
"VAS","Eleocharis equisetoides","Horsetail spikerush","<i>Eleocharis equisetoides</i> (Ell.) Torr.","","","G4","S1","","","Rare List"
"VAS","Eleocharis intermedia","Matted Spikerush","<i>Eleocharis intermedia</i> J.A. Schultes","","","G5?","S1","","","Rare List"
"VAS","Eleocharis melanocarpa","Black-fruited Spikerush","<i>Eleocharis melanocarpa</i> Torr.","","","G4","S2","","","Rare List"
"VAS","Eleocharis radicans","Rooted Spikerush","<i>Eleocharis radicans</i> (A. Dietr.) Kunth","","","G5","SH","","","Rare List"
"VAS","Eleocharis robbinsii","Robbins' spikerush","<i>Eleocharis robbinsii</i> Oakes","","","G4","S1","","","Rare List"
"VAS","Eleocharis tricostata","Three-angled spikerush","<i>Eleocharis tricostata</i> Torr.","","","G4","S1","","","Rare List"
"VAS","Eleocharis uniglumis","One-scale Spikerush","<i>Eleocharis uniglumis</i> (Link) J.A. Schultes","","formerly listed as <i>Eleocharis halophila</i>","G5","S1","","","Rare List"
"VAS","Eleocharis vivipara","Viviparous Spikerush","<i>Eleocharis vivipara</i> Link","","","G5","S1","","","Rare List"
"VAS","Eleocharis wolfii","Wolf's spikerush","<i>Eleocharis wolfii</i> (Gray) Gray ex Britt.","","","G3G5","S1","","","Rare List"
"VAS","Elymus canadensis var. canadensis","Nodding wild rye","<i>Elymus canadensis</i> L. var. <i>canadensis</i>","","","G5","S1","","","Rare List"
"VAS","Elymus trachycaulus ssp. trachycaulus","Slender Wheatgrass","<i>Elymus trachycaulus</i> (Link) Gould ex Shinners ssp. <i>trachycaulus</i>","<i>Agropyron trachycaulum</i>","","G5T5","S1","","","Rare List"
"NB","Encalypta ciliata","Fringed Extinguisher Moss","<i>Encalypta ciliata</i> Hedw.","","","G5","SH","","","Rare List"
"VAS","Endotropis alnifolia","Alder-leaved buckthorn","<i>Endotropis alnifolia</i> (L'Hér.) Hauenschild","<i>Rhamnus alnifolia</i>","","G5","S1","","","Rare List"
"VAS","Enemion biternatum","False Rue-anemone","<i>Enemion biternatum</i> Raf.","<i>Isopyrum biternatum</i>","","G5","S1","","","Rare List"
"NB","Entodon sullivantii","Sullivant's Entodon moss","<i>Entodon sullivantii</i> (C. Mull.) Lindb.","","","G3G4","S2","","","Rare List"
"VAS","Epilobium ciliatum ssp. ciliatum","American willow-herb","<i>Epilobium ciliatum</i> Raf. ssp. <i>ciliatum</i>","","","G5T5","S1","","","Rare List"
"VAS","Epilobium leptophyllum","Bog willow-herb","<i>Epilobium leptophyllum</i> Raf.","","","G5","S2S3","","","Rare List"
"VAS","Equisetum fluviatile","Water Horsetail","<i>Equisetum fluviatile</i> L.","","","G5","S1","","","Rare List"
"VAS","Equisetum laevigatum","Smooth Scouring-rush","<i>Equisetum laevigatum</i> A. Braun","","","G5","S1","","","Rare List"
"VAS","Equisetum sylvaticum","Woodland Horsetail","<i>Equisetum sylvaticum</i> L.","","","G5","S1","","","Rare List"
"VAS","Erianthus coarctatus","Compressed plumegrass","<i>Erianthus coarctatus</i> Fern.","<i>Saccharum coarctatum</i>","","G5?","S1","","","Rare List"
"VAS","Erigeron vernus","White-top Fleabane","<i>Erigeron vernus</i> (L.) Torr. & Gray","","","G5","S2","","","Rare List"
"VAS","Eriocaulon aquaticum","Seven-angled pipewort","<i>Eriocaulon aquaticum</i> (Hill) Druce","","","G5","S1","","","Rare List"
"VAS","Eriocaulon decangulare var. decangulare","Ten-angled pipewort","<i>Eriocaulon decangulare</i> L. var. <i>decangulare</i>","","","G5T5?","S2","","","Rare List"
"VAS","Eriocaulon parkeri","Parker's Pipewort","<i>Eriocaulon parkeri</i> B.L. Robins.","","","G3","S2","","","Rare List"
"VAS","Eryngium integrifolium","Blue-flower eryngo","<i>Eryngium integrifolium</i> Walt.","","","G5","S1","","","Rare List"
"VAS","Eryngium yuccifolium var. yuccifolium","Northern rattlesnake-master","<i>Eryngium yuccifolium</i> Michx. var. <i>yuccifolium</i>","","","G5T5","S2","","","Rare List"
"VAS","Erysimum capitatum var. capitatum","Western Wallflower","<i>Erysimum capitatum</i> (Dougl. ex Hook.) Greene var. <i>capitatum</i>","","","G5TNR","S2","","","Rare List"
"VAS","Erythranthe moschata","Muskflower","<i>Erythranthe moschata</i> (Douglas ex Lindley) Nesom","<i>Mimulus moschatus</i>","","G5","SH","","","Rare List"
"VAS","Erythronium albidum","White trout lily","<i>Erythronium albidum</i> Nutt.","","","G5","S2","","","Rare List"
"VAS","Eupatorium linearifolium","Narrow-leaf bushy thoroughwort","<i>Eupatorium linearifolium</i> Walt.","","","GNR","SH","","","Rare List"
"VAS","Eupatorium maritimum","Seaside Thoroughwort","<i>Eupatorium maritimum</i> E.E. Schill.","","Newly named taxon, formerly lumped with <i>Eupatorium anomalum</i> Nash","G2?","S1","","","Rare List"
"VAS","Euphorbia bombensis","Southern seaside spurge","<i>Euphorbia bombensis</i> Jacq.","<i>Chamaesyce bombensis</i>","","G4G5","S2","","","Rare List"
"VAS","Euphorbia exserta","Maroon sandhills spurge","<i>Euphorbia exserta</i> (Small) Coker","","","G4?","S1","","","Rare List"
"VAS","Euphorbia purpurea","Glade Spurge","<i>Euphorbia purpurea</i> (Raf.) Fern.","","","G3","S2","","","Rare List"
"VAS","Eurybia radula","Low rough aster","<i>Eurybia radula</i> (Ait.) Nesom","","","G5","S1","","","Rare List"
"VAS","Eurybia surculosa","Creeping Aster","<i>Eurybia surculosa</i> (Michx.) Nesom","","","G4G5","S1S2","","","Rare List"
"VAS","Eutrochium maculatum var. maculatum","Spotted Joe-pye-weed","<i>Eutrochium maculatum </i>(L.) E.E. Lamont var. <i>maculatum</i>","<i>Eupatorium maculatum</i> var. <i>maculatum</i>","","G5T5","S1","","","Rare List"
"VAS","Filipendula rubra","Queen-of-the-prairie","<i>Filipendula rubra</i> (Hill) B.L. Robins.","","","G4G5","S2","","","Rare List"
"VAS","Fimbristylis perpusilla","Harper's fimbry","<i>Fimbristylis perpusilla</i> Harper ex Small & Britt.","","","G2","S1","","LE","Rare List"
"VAS","Fimbristylis puberula var. puberula","Hairy fimbry","<i>Fimbristylis puberula</i> (Michx.) Vahl var. <i>puberula</i>","","","G5T5","S1","","","Rare List"
"VAS","Fleischmannia incarnata","Pink Thoroughwort","<i>Fleischmannia incarnata</i> (Walt.) King & H.E. Robins.","<i>Eupatorium incarnatum</i>","","G5","S2","","","Rare List"
"NB","Forsstroemia producta","A moss","<i>Forsstroemia producta</i> (Hornsch.) Par.","","","G5?","S1","","","Rare List"
"VAS","Fragaria vesca var. americana","Woodland Strawberry","<i>Fragaria vesca</i> L. var. <i>americana</i> Porter","","All native <i>F. vesca</i> is var. <i>americana</i>","G5T5","S1","","","Rare List"
"NB","Frullania caulisequa","A liverwort","<i>Frullania caulisequa</i> (Nees) Nees","","","G5","S1","","","Rare List"
"VAS","Fuirena breviseta","Short-bristled umbrella-sedge","<i>Fuirena breviseta</i> (Coville) Coville","","","G5","SH","","","Rare List"
"VAS","Gaylussacia brachycera","Box Huckleberry","<i>Gaylussacia brachycera</i> (Michx.) Gray","","","G3","S1","","","Rare List"
"VAS","Gentiana autumnalis","Pine barren gentian","<i>Gentiana autumnalis</i> L.","","","G3","S1","","","Rare List"
"VAS","Gentiana linearis","Narrowleaf Gentian","<i>Gentiana linearis</i> Froel.","","","G4G5","SH","","","Rare List"
"VAS","Gentianella quinquefolia var. occidentalis","Western stiff gentian","<i>Gentianella quinquefolia (L.) Small var. occidentalis</i> (L.) A. Gray","","","G5T4T5","S1","","","Rare List"
"VAS","Gentianopsis crinita","Greater fringed gentian","<i>Gentianopsis crinita</i> (Froel.) Ma","","","G5","S1","","","Rare List"
"VAS","Geum aleppicum","Yellow Avens","<i>Geum aleppicum</i> Jacq.","","","G5","SH","","","Rare List"
"VAS","Geum geniculatum","Bent avens","<i>Geum geniculatum</i> Michx.","","","G2","S1","","","Rare List"
"VAS","Geum laciniatum","Rough Avens","<i>Geum laciniatum</i> Murr.","","","G5","S1","","","Rare List"
"VAS","Gillenia stipulata","American Ipecac","<i>Gillenia stipulata</i> (Muhl. ex Willd.) Nutt.","<i>Porteranthus stipulatus</i>","","G5","S1","","","Rare List"
"VAS","Glyceria grandis var. grandis","American Mannagrass","<i>Glyceria grandis</i> S. Wats. var. <i>grandis</i>","","","G5T5","S1","","","Rare List"
"VAS","Glyceria laxa","Northern Mannagrass","<i>Glyceria laxa</i> (Scribn.) Scribn.","","","G4","S1","","","Rare List"
"VAS","Gnaphalium uliginosum","Low Cudweed","<i>Gnaphalium uliginosum</i> L.","","","G5","S1","","","Rare List"
"VAS","Goodyera repens","Dwarf Rattlesnake-plantain","<i>Goodyera repens</i> (L.) R. Br. ex Ait. f.","","","G5","S1","","","Rare List"
"VAS","Gratiola ramosa","Branched hedge-hyssop","<i>Gratiola ramosa</i> Walt.","","","G4G5","S1","","","Rare List"
"NB","Grimmia alpestris","A moss","<i>Grimmia alpestris</i> (Web. & Mohr) Schleich. ex Nees","","","GNR","S1","","","Rare List"
"VAS","Habenaria repens","Water-spider Orchis","<i>Habenaria repens</i> Nutt.","","","G5","S1","","","Rare List"
"NB","Harpanthus scutatus","Stipular flapwort","<i>Harpanthus scutatus</i> (Web. et Mohr) Spruce","","","G4G5","S1","","","Rare List"
"VAS","Harperella nodosa","Harperella","<i>Harperella nodosa</i> Rose","<i>Ptilimnium nodosum</i>","","G2","S1","LE","LE","Rare List"
"VAS","Helanthium tenellum","Dwarf Burhead","<i>Helanthium tenellum</i> (Mart. ex Schult. f.) Britton","<i>Echinodorus parvulus</i>","","G5?","S1","","","Rare List"
"VAS","Helenium brevifolium","Short-leaf sneezeweed","<i>Helenium brevifolium</i> (Nutt.) Wood","","","G4","S2","","","Rare List"
"VAS","Helenium virginicum","Virginia Sneezeweed","<i>Helenium virginicum</i> Blake","","","G3","S2","LT","LE","Rare List"
"VAS","Helianthus occidentalis ssp. occidentalis","Western sunflower","<i>Helianthus occidentalis</i> Riddell ssp. <i>occidentalis</i>","","","G5T5","S1","","","Rare List"
"VAS","Heliotropium curassavicum var. curassavicum","Seaside Heliotrope","<i>Heliotropium curassavicum</i> L. var. <i>curassavicum</i>","","","G5T5","S1","","","Rare List"
"VAS","Helonias bullata","Swamp-pink","<i>Helonias bullata</i> L.","","","G3","S2S3","LT","LE","Rare List"
"NB","Herpetineuron toccoae","A moss","<i>Herpetineuron toccoae</i> (Sull. & Lesq. in Sull.) Card.","","","G4G5","S1","","","Rare List"
"VAS","Heteranthera pauciflora","Atlantic Mud plantain","<i>Heteranthera pauciflora</i> C.N. Horn","","Formerly listed as <i>H. multiflora</i>, which was split. Our plants now classified as <i>H. pauciflora</i>","G3","S1","","","Rare List"
"NB","Heterocladium macounii","A moss","<i>Heterocladium macounii</i> Best","","","G4","S1","","","Rare List"
"NL","Heterodermia appalachensis","Appalachian fringe lichen","<i>Heterodermia appalachensis</i> (Kurok.) Culb.","","","G3","S1","","","Rare List"
"NL","Heterodermia erecta","A fringe lichen","<i>Heterodermia erecta</i> Lendemer","","","G2","S1","","","Rare List"
"VAS","Heuchera alba","White Alumroot","<i>Heuchera alba</i> Rydb.","","","G2Q","S1","","","Rare List"
"VAS","Heuchera caroliniana","Carolina alumroot","<i>Heuchera caroliniana</i> (Rosendahl, Butters & Lakela) E. Wells","","","G3","S1","","","Rare List"
"VAS","Hexastylis contracta","Mountain heartleaf ","<i>Hexastylis contracta</i> Blomquist","","","G3","S1","","","Rare List"
"VAS","Hexastylis sorriei","Sandhills heartleaf","<i>Hexastylis sorriei</i> Gaddy","","","G3","S1","","","Rare List"
"VAS","Hierochloe hirta","Holy grass","<i>Hierochloe hirta</i> (Schrank) Borbas","<i>Hierochloe odorata</i> ssp. <i>odorata</i>","","G5","S1","","","Rare List"
"NB","Homalia trichomanoides var. trichomanoides","Lime homalia moss","<i>Homalia trichomanoides </i>(Hedw.) Schimp. in B.S.G. var. <i>trichomanoides</i>","","","G5T5","SH","","","Rare List"
"NB","Homaliadelphus sharpii","Sharp's Homaliadelphus moss","<i>Homaliadelphus sharpii</i> (Williams) Sharp","","","G3?","S1","","","Rare List"
"VAS","Honckenya peploides ssp. robusta","Sea-beach Sandwort","<i>Honckenya peploides</i> (L.) Ehrh. ssp. <i>robusta</i> (Fern.) Hulten","<i>Honkenya peploides</i>","","G5T4","SH","","","Rare List"
"VAS","Hordeum jubatum ssp. jubatum","Foxtail barley","<i>Hordeum jubatum</i> L. ssp. <i>jubatum</i>","","Only native Virginia occurrences are monitored","G5T5","S1","","","Rare List"
"VAS","Houstonia canadensis","Canada Bluets","<i>Houstonia canadensis</i> Willd. ex Roemer & J.A. Schultes","<i>Hedyotis canadensis</i>","","G4G5","S2","","","Rare List"
"VAS","Houstonia montana","Roan mountain bluets","<i>Houstonia montana</i> Small","<i>Houstonia purpurea</i> var. <i>montana</i>","","G5T2","S1","LE","LT","Rare List"
"VAS","Houstonia nigricans var. nigricans","Glade bluets","<i>Houstonia nigricans </i>(Lam.) Fern. var.<i> nigricans</i>","<i>Hedyotis nigricans</i>","","G5T5","S1","","","Rare List"
"VAS","Huperzia appressa","Appalachian Fir clubmoss","<i>Huperzia appressa</i> (Desv.) A. Löve &amp; D. Löve","<i>Huperzia appalachiana</i>Includes apparent hybrids between <i>H. appressa</i> and <i>H. lucidula</i>","","G5","S2","","","Rare List"
"VAS","Huperzia porophila","Rock Clubmoss","<i>Huperzia porophila</i> (Lloyd & Underwood) Holub","<i>Lycopodium porophilum</i>","","G4","S1","","","Rare List"
"VAS","Hydrocotyle bonariensis","Coastal water-pennywort","<i>Hydrocotyle bonariensis</i> Comm. ex Lam.","","","G5","S2","","","Rare List"
"NB","Hylocomiastrum umbratum","A Moss","<i>Hylocomiastrum umbratum</i> (Hedw.) Fleisch. in Broth.","","","G5","SH","","","Rare List"
"VAS","Hymenachne hemitomon","Maidencane","<i>Hymenachne hemitomon</i> (J.A. Schultes) C.C. Hsu","<i>Panicum hemitomon</i>","","G5?","S2","","","Rare List"
