GRPSORT,SNAME,COMMON_NAME,Author,synname,ALTSYN,GRANK,SRANK,FEDSTAT,SPROT,TRK,,,,,,,,,,,,,,
IMBIV,Plethobasus cyphyus,Sheepnose,"Plethobasus cyphyusÿ(Rafinesque, 1820)",,,G2G3,S1,LE,LE,Rare List,,,,,,,,,,,,,,
IMBIV,Pleurobema cordatum,Ohio Pigtoe,"Pleurobema cordatumÿ(Rafinesque, 1820)",,,G3G4,S1,,LE,Rare List,,,,,,,,,,,,,,
IMBIV,Pleurobema oviforme,Tennessee Clubshell,"Pleurobema oviformeÿ(Conrad, 1834)",,,G2G3,S2S3,PE,,Rare List,,,,,,,,,,,,,,
IMBIV,Pleurobema plenum,Rough Pigtoe,"Pleurobema plenumÿ(I. Lea, 1840)",,,G1,SH,LE,LE,Rare List,,,,,,,,,,,,,,
IMBIV,Pleurobema rubrum,Pyramid Pigtoe,"Pleurobema rubrumÿ(Rafinesque, 1820)",Pleurobema pyramidatum,,G2,SH,,LE,Rare List,,,,,,,,,,,,,,
IMBIV,Pleuronaia barnesiana,Tennessee Pigtoe,"Pleuronaia barnesianaÿ(I. Lea, 1838)",Fusconaia barnesiana,,G2G3,S2,PE,,Rare List,,,,,,,,,,,,,,
IMBIV,Pleuronaia dolabelloides,Slabside Pearlymussel,"Pleuronaia dolabelloidesÿ(I. Lea, 1840)",Lexingtonia dolabelloides,,G2,S2,LE,LE,Rare List,,,,,,,,,,,,,,
IMBIV,Potamilus fragilis,Fragile Papershell,"Potamilus fragilisÿ(Rafinesque, 1820)",Leptodea fragilis,,G5,S1,,LT,Rare List,,,,,,,,,,,,,,
IMBIV,Ptychobranchus subtentus,Fluted Kidneyshell,"Ptychobranchus subtentusÿ(Say, 1825)",,,G2?,S2,LE,LE,Rare List,,,,,,,,,,,,,,
IMBIV,Pustulosa pustulosa,Pimpleback,"Pustulosa pustulosaÿ(Lea, 1831)","Cyclonaias pustulosa,ÿQuadrula pustulosa",,G5,S2,,LT,Rare List,,,,,,,,,,,,,,
IMBIV,Theliderma cylindrica,Rabbitsfoot,"Theliderma cylindricaÿ(Say, 1817)",Quadrula cylindrica,,G3,S2,LE,LE,Rare List,,,,,,,,,,,,,,
IMBIV,Theliderma intermedia,Cumberland Monkeyface,"Theliderma intermediaÿ(Conrad, 1836)",Quadrula intermedia,,G1,S1,LE,LE,Rare List,,,,,,,,,,,,,,
IMBIV,Theliderma sparsa,Appalachian Monkeyface,"Theliderma sparsaÿ(Lea, 1841)",Quadrula sparsa,,G1,S1,LE,LE,Rare List,,,,,,,,,,,,,,
IMBIV,Toxolasma lividum,Purple Liliput,"Toxolasma lividumÿRafinesque, 1831","Carunculina lividus,ÿCarunculina glans",,G3,SH,,LE,Rare List,,,,,,,,,,,,,,
IMBIV,Tritogonia verrucosa,Pistolgrip,"Tritogonia verrucosaÿ(Rafinesque, 1820)",Quadrula verrucosa,,G4G5,S2,,LT,Rare List,,,,,,,,,,,,,,
IMBIV,Truncilla truncata,Deertoe,"Truncilla truncataÿRafinesque, 1820",,,G5,S1,,LE,Rare List,,,,,,,,,,,,,,
IMBIV,Venustaconcha trabalis,Tennessee Bean,"Venustaconcha trabalisÿ(Conrad, 1834)","Villosa trabalis,ÿVillosa perpurpurea",,G1,S1,LE,LE,Rare List,,,,,,,,,,,,,,
IMGAS,Anguispira jessica,Mountain Disc,"Anguispira jessicaÿKutchka, 1938",Anguispira alternata jessica,,G3G4,S1,,,Rare List,,,,,,,,,,,,,,
IMGAS,Elimia arachnoidea,Spider Elimia,"Elimia arachnoideaÿ(Anthony, 1854)",Goniobasis arachnoidea,,G2G3,S2,,LE,Rare List,,,,,,,,,,,,,,
IMGAS,Fontigens bottimeri,Appalachian Springsnail,"Fontigens bottimeriÿ(Walker, 1925)",,,G2G3,S2S3,,LE,Rare List,,,,,,,,,,,,,,
IMGAS,Fontigens morrisoni,Virginia Springsnail,"Fontigens morrisoniÿHershler, Holsinger, and Hubricht, 1990",,,G2,S2,,LE,Rare List,,,,,,,,,,,,,,
IMGAS,Fontigens tartarea,Organ cavesnail,"Fontigens tartareaÿHubricht, 1963",,,G2,S1S2,,,Rare List,,,,,,,,,,,,,,
IMGAS,Fumonelix wheatleyi clingmanicus,Clingman Covert,"Fumonelix wheatleyi clingmanicusÿ(Pilsbry, 1904)",Mesodon clingmanicus,,G4T2T3,S1S2,,,Rare List,,,,,,,,,,,,,,
IMGAS,Glyphyalinia raderi,Maryland Glyph,"Glyphyalinia raderiÿ(Dall, 1898)",,,G2,S1S2,,,Rare List,,,,,,,,,,,,,,
IMGAS,Helicodiscus diadema,Shaggy Coil,"Helicodiscus diademaÿGrimm, 1967",,,G1,S1,,LE,Rare List,,,,,,,,,,,,,,
IMGAS,Helicodiscus lirellus,Rubble Coil,"Helicodiscus lirellusÿHubricht, 1975",,,G1,S1,,LE,Rare List,,,,,,,,,,,,,,
IMGAS,Helicodiscus multidens,Twilight Coil,"Helicodiscus multidensÿHubricht, 1962",,,G3,S2,,,Rare List,,,,,,,,,,,,,,
IMGAS,Helicodiscus triodus,Talus Coil,"Helicodiscus triodusÿHubricht, 1958",,,G1,S1S2,,,Rare List,,,,,,,,,,,,,,
IMGAS,Holsingeria unthanksensis,Thankless ghostsnail,"Holsingeria unthanksensisÿHershler, 1989",,,G2,S2,,LE,Rare List,,,,,,,,,,,,,,
IMGAS,Io fluvialis,Spiny Riversnail,"Io fluvialisÿ(Say, 1825)",,,G1G2,S2,,LT,Rare List,,,,,,,,,,,,,,
IMGAS,Mesodon andrewsae,Balsam Globe,"Mesodon andrewsaeÿW.G. Binney, 1879",,,G3,S1,,,Rare List,,,,,,,,,,,,,,
IMGAS,Millerelix plicata,Cumberland Liptooth,"Millerelix plicataÿ(Say, 1821)",Polygyra plicata,,G4,S1S3,,,Rare List,,,,,,,,,,,,,,
IMGAS,Pallifera hemphilli,Black Mantleslug,"Pallifera hemphilliÿ(W.G. Binney, 1885)",,,G4,S1,,,Rare List,,,,,,,,,,,,,,
IMGAS,Paravitrea blarina,Shrew Supercoil,"Paravitrea blarinaÿHubricht, 1963",,,G3,S1,,,Rare List,,,,,,,,,,,,,,
IMGAS,Paravitrea dentilla,Comb Supercoil,"Paravitrea dentillaÿHubricht, 1978",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
IMGAS,Paravitrea hera,Spirit Supercoil,"Paravitrea heraÿHubricht, 1983",,,G1,S1,,LE,Rare List,,,,,,,,,,,,,,
IMGAS,Paravitrea mira,Funnel Supercoil,"Paravitrea miraÿHubricht, 1975",,,G1G2,S2,,,Rare List,,,,,,,,,,,,,,
IMGAS,Paravitrea septadens,Brown Supercoil,"Paravitrea septadensÿHubricht, 1978",,,G1,S1,,LT,Rare List,,,,,,,,,,,,,,
IMGAS,Paravitrea seradens,Barred Supercoil,"Paravitrea seradensÿHubricht, 1972",,,G3,S1S3,,,Rare List,,,,,,,,,,,,,,
IMGAS,Paravitrea subtilis,Slender Supercoil,"Paravitrea subtilisÿHubricht, 1978",,,G2,S1S2,,,Rare List,,,,,,,,,,,,,,
IMGAS,Pleurocera gradata,Bottle Hornsnail,"Pleurocera gradataÿ(Anthony, 1854)",,,G1G2,SU,,,Rare List,,,,,,,,,,,,,,
IMGAS,Polygyriscus virginianus,Virginia Fringed Mountain Snail(=Virginia coil),"Polygyriscus virginianusÿ(P.R. Burch, 1947)",,,G1,S1,LE,LE,Rare List,,,,,,,,,,,,,,
IMGAS,Somatogyrus virginicus,Pandhandle Pebblesnail,"Somatogyrus virginicusÿWalker, 1904",,,G2G3,S2,,,Rare List,,,,,,,,,,,,,,
IMGAS,Stagnicola neopalustris,Piedmont Pondsnail,"Stagnicola neopalustrisÿ(F.C. Baker, 1911)",,,GH,SH,,,Rare List,,,,,,,,,,,,,,
IMGAS,Stenotrema altispira,Highland Slitmouth,"Stenotrema altispiraÿ(Pilsbry, 1894)",,,G3,S1,,,Rare List,,,,,,,,,,,,,,
IMGAS,Triodopsis picea,Spruce Knob Three-tooth,"Triodopsis piceaÿHubricht, 1958",,,G3,S1,,,Rare List,,,,,,,,,,,,,,
IMGAS,Ventridens coelaxis,Bidentate Dome,"Ventridens coelaxisÿ(Pilsbry, 1899)",,,G3,S2,,,Rare List,,,,,,,,,,,,,,
IPTUR,Geocentrophora cavernicola,A Cave Planarian,"Geocentrophora cavernicolaÿCarpenter, 1970",,,G2,S1,,,Rare List,,,,,,,,,,,,,,
IPTUR,Procotyla typhlops,A Groundwater Planarian,"Procotyla typhlopsÿKenk, 1935",,,G1G2,S1S2,,,Rare List,,,,,,,,,,,,,,
IPTUR,Sphalloplana chandleri,Chandler's Planarian,"Sphalloplana chandleriÿKenk, 1977",,,G1G2,S1,,,Rare List,,,,,,,,,,,,,,
IPTUR,Sphalloplana consimilis,Powell Valley Planarian,"Sphalloplana consimilisÿKenk, 1977",,,G2G3,S1,,,Rare List,,,,,,,,,,,,,,
IPTUR,Sphalloplana holsingeri,Holsinger's Groundwater Planarian,"Sphalloplana holsingeriÿKenk, 1977",,,G1G2,SH,,,Rare List,,,,,,,,,,,,,,
IPTUR,Sphalloplana hypogea,A Groundwater Planarian,"Sphalloplana hypogeaÿKenk, 1984",,,G1G2,S1S2,,,Rare List,,,,,,,,,,,,,,
IPTUR,Sphalloplana subtilis,Bigger's Groundwater Planarian,"Sphalloplana subtilisÿKenk, 1977",,,G1G2,SH,,,Rare List,,,,,,,,,,,,,,
IPTUR,Sphalloplana virginiana,Rockbridge County Cave Planarian,"Sphalloplana virginianaÿHyman, 1945",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Apheloria whiteheadi,Laurel Creek Xystodesmid Millipede,"Apheloria whiteheadiÿ(Shelley, 1986)",Sigmoria whiteheadi,,G1,S1,,LT,Rare List,,,,,,,,,,,,,,
ITUNI,Appalachioria bondi,Bond's Appalachian Mimic Millipede,"Appalachioria bondiÿMarek, Means, Hennen, 2021",,,GNR,S1S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Appalachioria falcifera,Big Cedar Creek Millipede,"Appalachioria falciferaÿ(Keeton, 1959)",Brachoria falcifera,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Appalachioria hamata,A Millipede,"Appalachioria hamataÿ(Keeton, 1959)",Brachoria separanda hamata,,G2,S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Appalachioria sierwaldae,Sierwald's Appalachian Mimic Millipede,"Appalachioria sierwaldaeÿMarek, Means, Hennen, 2021",,,GNR,S1S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Appalachioria turneri,Turner's Millipede,"Appalachioria turneriÿ(Keeton, 1959)",Brachoria turneri,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Appalachioria versicolor,A Millipede,"Appalachioria versicolorÿ(Hoffman, 1963)",Brachoria separanda versicolor,,G2,S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Brachoria cedra,cedar glade mimic millipede,"Brachoria cedraÿKeeton, 1959",,,G2G3,S2S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Brachoria dentata,Pennington Gap mimic millipede,"Brachoria dentataÿKeeton, 1959",,,G2G3,S2S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Brachoria hoffmani,Hoffman's mimic millipede,"Brachoria hoffmaniÿKeeton,1959",,,G2G3,S2S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Brachoria insolita,High Knob mimic millipede,"Brachoria insolitaÿKeeton,1959",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Brachoria laminata,Harman mimic millipede,"Brachoria laminataÿKeeton,1959",,,GU,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Brachoria mendota,Mendota mimic millipede,"Brachoria mendotaÿKeeton,1959",,,G3,S2S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Brachoria sheari,Shear's mimic millipede,"Brachoria sheariÿMarek, 2010",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Brachoria virginia,Virginia mimic millipede,"Brachoria virginiaÿMarek, 2010",,,G1,S1S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Cherokia georgiana,A Millipede,"Cherokia georgianaÿ(Bollman, 1889)",Cherokia georgiana latassa,,G4,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Cleidogona lachesis,A Millipede,"Cleidogona lachesisÿShear, 1972",,,G2,S1S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Cleidogona medialis,Blowing Rock Millipede,"Cleidogona medialisÿShelley, 1976",,,G3G4,S2?,,,Rare List,,,,,,,,,,,,,,
ITUNI,Conotyla aeto,Aeto Millipede,"Conotyla aetoÿShear, 1971",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Conotyla celeno,Celeno Millipede,"Conotyla celenoÿShear, 1971",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Conotyla venetia,Venetia Millipede,"Conotyla venetiaÿHoffman, 1961",,,G1,S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Daphnedesmus coronata,A Millipede,"Daphnedesmus coronataÿ(Hoffman, 1949)","Dixioria coronata,ÿDixioria pela coronata",,G2,S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Daphnedesmus fowleri,A Millipede,"Daphnedesmus fowleriÿ(Hoffman, 1956)",Dixioria fowleri,,G2,S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Desmonus earlei,Earle's millipede,"Desmonus earleiÿCook, 1898",,,G5,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Escaryus cryptorobius,Montane Centipede,"Escaryus cryptorobiusÿPereira and Hoffman, 1993",,,G2,S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Escaryus orestes,Whitetop Mountain Centipede,"Escaryus orestesÿPereira and Hoffman, 1993",,,G1,S1S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Howellaria infesta,A Millipede,"Howellaria infestaÿ(Chamberlin, 1918)",Boraria infesta,,G4,S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Nampabius turbator,A Cave Centipede,"Nampabius turbatorÿCrabill, 1952",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Nannaria acroteria,Fork Mountain Twisted-Claw Millipede,"Nannaria acroteriaÿHennen, Means, and Marek, 2022",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Nannaria filicata,Fern Twisted-Claw Millipede,"Nannaria filicataÿHennen, Means, and Marek, 2022",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Nannaria ignis,Dragon-Headed Twisted-Claw Millipede,"Nannaria ignisÿMeans, Hennen and Marek, 2021",,,GNR,S1S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Nannaria liriodendra,Tuliptree Twisted-Claw Millipede,"Nannaria liriodendraÿHennen, Means, and Marek, 2022",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Nannaria marianae,Maple Flats Twisted-Claw Millipede,"Nannaria marianaeÿHennen, Means, and Marek, 2022",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Nannaria paraptoma,Tumbling Twisted-Claw Millipede,"Nannaria paraptomaÿHennen, Means, and Marek, 2022",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Nannaria simplex,A Millipede,"Nannaria simplexÿHoffman, 1949",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Nannaria sp. 1,Roaring Branch Nannaria Millipede,Nannariaÿsp. 1 Hoffman (in press),,,G1?,S1?,,,Rare List,,,,,,,,,,,,,,
ITUNI,Nannaria spruilli,Chad Spruill's Twisted-Claw Millipede,"Nannaria spruilliÿMeans, Hennen and Marek, 2021",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Nannaria stellapolis,Star City Twisted-Claw Millipede,"Nannaria stellapolisÿMeans, Hennen and Marek, 2021",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Nannaria tenuis,Svelte Twisted-Claw Millipede,"Nannaria tenuisÿMeans, Hennen and Marek, 2021",,,GNR,S1S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia armesi,Armes' rough-backed millipede,"Pseudotremia armesiÿShear, 1972",,,G2,S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia cavernarum,Ellett Valley Pseudotremia Millipede,"Pseudotremia cavernarumÿCope, 1869",,,G2G3,S1,,LT,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia cerberus,Cerberus cave millipede,"Pseudotremia cerberusÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia contorta,twisted-gonopod cave millipede,"Pseudotremia contortaÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia culveri,Culver's cave millipede,"Pseudotremia culveriÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia deprehendor,A Cave Obligate Millipede,"Pseudotremia deprehendorÿShear, 1972",,,G1,S1S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia fergusoni,Ferguson's cave millipede,"Pseudotremia fergusoniÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia fremens,Roaring Branch rough-backed millipede,"Pseudotremia fremensÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia hubbardi,Hubbard's cave millipede,"Pseudotremia hubbardiÿShear, 2011",,,G1G2,S1S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia inexpectata,Devault's cave millipede,"Pseudotremia inexpectataÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia jaculohamatum,harpoon cave millipede,"Pseudotremia jaculohamatumÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia johnholsingeri,Holsinger's cave millipede,"Pseudotremia johnholsingeriÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia loomisi,Loomis' rough-backed millipede,"Pseudotremia loomisiÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia momus,A Millipede,"Pseudotremia momusÿShear, 1972",,,G2,S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia orndorffi,Orndorff's cave millipede,"Pseudotremia orndorffiÿShear, 2011",,,G2,S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia peponocranium,pumpkin-headed cave millipede,"Pseudotremia peponocraniumÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia piscator,Fisher Cave millipede,"Pseudotremia piscatorÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia princeps,South Branch Valley Cave Millipede,"Pseudotremia princepsÿLoomis, 1939",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia ryensis,Rye Cove cave millipede,"Pseudotremia ryensisÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia salifodina,Jones' Saltpetre Cave millipede,"Pseudotremia salifodinaÿShear, 2011",,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia sublevis,A Millipede,"Pseudotremia sublevisÿLoomis, 1944",,,G2G3,S2S3,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia tuberculata,A Millipede,"Pseudotremia tuberculataÿLoomis, 1939",,,G3,S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Pseudotremia valga,A Millipede,"Pseudotremia valgaÿLoomis, 1943",,,G1G2,S1S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Rhysodesmus restans,Relictual Appalachian Millipede,"Rhysodesmus restansÿHoffman, 1998",,,G1G2,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Sigmoria brooksi,Brooks Millipede,"Sigmoria brooksiÿ(Hoffman, 1956)",Dixioria brooksi,,G1,S1,,,Rare List,,,,,,,,,,,,,,
ITUNI,Zygonopus weyeriensis,Grand Caverns Blind Cave Millipede,"Zygonopus weyeriensisÿCausey, 1960",Trichopetalum weyeriensis,,G3G4,S2,,,Rare List,,,,,,,,,,,,,,
ITUNI,Zygonopus whitei,Luray Caverns Blind Cave Millipede,"Zygonopus whiteiÿRyder, 1881",Trichopetalum whitei,,G3G4,S2,,,Rare List,,,,,,,,,,,,,,
OTHER,Bird Nesting Colony,Bird Nesting Colony,Bird Nesting Colony,,,G5,SNR,,,Rare List,,,,,,,,,,,,,,
OTHER,Colonial Wading Bird Colony,Colonial Wading Bird Colony,Colonial Wading Bird Colony,,,G5,S2,,,Rare List,,,,,,,,,,,,,,
OTHER,Freshwater Mussel Concentration Area,Freshwater Mussel Concentration Area,Freshwater Mussel Concentration Area,,,G3,SNR,,,Rare List,,,,,,,,,,,,,,
OTHER,Landbird Migratory Concentration Area,Landbird Migratory Concentration Area,Landbird Migratory Concentration Area,,,G3,S1N,,,Rare List,,,,,,,,,,,,,,
OTHER,Monarch Butterfly Migratory Roost Site,Monarch Butterfly Migratory Roost Site,Monarch Butterfly Migratory Roost Site,,,GU,S1N,,,Rare List,,,,,,,,,,,,,,
OTHER,Shorebird Migratory Concentration Area,Shorebird Migratory Concentration Area,Shorebird Migratory Concentration Area,,,GNR,S2M,,,Rare List,,,,,,,,,,,,,,
AA,Aneides aeneus,Green Salamander,"Aneides aeneusÿ(Cope and Packard, 1881)",,,G3G4,S3,,,Watch List,,,,,,,,,,,,,,
AA,Lithobates virgatipes,Carpenter Frog,"Lithobates virgatipesÿ(Cope, 1891)",Rana virgatipes,,G4,S3,,,Watch List,,,,,,,,,,,,,,
AA,Plethodon kentucki,Cumberland Plateau Salamander,"Plethodon kentuckiÿMittleman, 1951",,,G4,S3,,,Watch List,,,,,,,,,,,,,,
AA,Plethodon montanus,Northern Gray-cheeked salamander,"Plethodon montanusÿHighton and Peabody, 2000",,,G4,S3,,,Watch List,,,,,,,,,,,,,,
AA,Plethodon yonahlossee,Yonahlossee Salamander,"Plethodon yonahlosseeÿDunn, 1917",,,G4,S3,,,Watch List,,,,,,,,,,,,,,
AA,Pseudacris nigrita,Southern chorus frog,"Pseudacris nigritaÿ(LeConte, 1825)",,,G5,S3,,,Watch List,,,,,,,,,,,,,,
AA,Pseudacris ocularis,Little Grass Frog,"Pseudacris ocularisÿ(Bosc and Daudin, 1801)",Limnaoedus ocularis,,G5,S3,,,Watch List,,,,,,,,,,,,,,
AA,Siren lacertina,Greater Siren,"Siren lacertinaÿLinnaeus, 1766",,,G5,S3,,,Watch List,,,,,,,,,,,,,,
AA,Stereochilus marginatus,Many-lined Salamander,"Stereochilus marginatusÿ(Hallowell, 1856)",,,G5,S3,,,Watch List,,,,,,,,,,,,,,
AB,Accipiter cooperii,Cooper's Hawk,"Accipiter cooperiiÿ(Bonaparte, 1828)",,,G5,"S3B,S3N",,,Watch List,,,,,,,,,,,,,,
AB,Ardea herodias,Great Blue Heron,"Ardea herodiasÿLinnaeus, 1758",,,G5,"S3B,S5N",,,Watch List,,,,,,,,,,,,,,
AB,Cardellina canadensis,Canada Warbler,"Cardellina canadensisÿ(Linnaeus, 1766)",Wilsonia canadensis,,G5,S3S4B,,,Watch List,,,,,,,,,,,,,,
AB,Certhia americana,Brown Creeper,"Certhia americanaÿBonaparte, 1838",,,G5,"S3B,S5N",,,Watch List,,,,,,,,,,,,,,
AB,Empidonax minimus,Least Flycatcher,"Empidonax minimusÿ(Baird and Baird, 1843)",,,G5,S3S4B,,,Watch List,,,,,,,,,,,,,,
AB,Haematopus palliatus,American Oystercatcher,"Haematopus palliatusÿTemminck, 1820",,,G5,"S3B,S3N",,,Watch List,,,,,,,,,,,,,,
AB,Haliaeetus leucocephalus,Bald Eagle,"Haliaeetus leucocephalusÿ(Linnaeus, 1766)",,,G5,"S3S4B,S3S4N",,,Watch List,,,,,,,,,,,,,,
AB,Ictinia mississippiensis,Mississippi Kite,"Ictinia mississippiensisÿ(Wilson, 1811)",,,G5,S2B,,,Watch List,,,,,,,,,,,,,,
AB,Ixobrychus exilis,Least Bittern,"Ixobrychus exilisÿ(Gmelin, 1789)",,,G4,"S3B,S3N",,,Watch List,,,,,,,,,,,,,,
AB,Nycticorax nycticorax,Black-crowned Night-heron,"Nycticorax nycticoraxÿ(Linnaeus, 1758)",,,G5,"S3B,S4N",,,Watch List,,,,,,,,,,,,,,
AB,Passerculus sandwichensis,Savannah Sparrow,"Passerculus sandwichensisÿ(Gmelin, 1789)",,,G5,"S3S4B,S4N",,,Watch List,,,,,,,,,,,,,,
AB,Petrochelidon pyrrhonota,Cliff Swallow,"Petrochelidon pyrrhonotaÿ(Vieillot, 1817)",,,G5,S3S4B,,,Watch List,,,,,,,,,,,,,,
AB,Riparia riparia,Bank Swallow,"Riparia ripariaÿ(Linnaeus, 1758)",,,G5,S3B,,,Watch List,,,,,,,,,,,,,,
AB,Setophaga cerulea,Cerulean Warbler,"Setophaga ceruleaÿ(Wilson, 1810)",Dendroica cerulea,,G4,S3S4B,,,Watch List,,,,,,,,,,,,,,
AB,Setophaga fusca,Blackburnian Warbler,"Setophaga fuscaÿ(Mller, 1776)",Dendroica fusca,,G5,S3B,,,Watch List,,,,,,,,,,,,,,
AB,Sitta canadensis,Red-breasted Nuthatch,"Sitta canadensisÿLinnaeus, 1766",,,G5,"S3B,S4N",,,Watch List,,,,,,,,,,,,,,
AB,Spiza americana,Dickcissel,"Spiza americanaÿ(Gmelin, 1789)",,,G5,S2S3B,,,Watch List,,,,,,,,,,,,,,
AB,Sterna forsteri,Forster's Tern,"Sterna forsteriÿNuttall, 1834",,,G5,"S3B,S3N",,,Watch List,,,,,,,,,,,,,,
AB,Tyto furcata,American Barn Owl,"Tyto furcataÿ(Temminck, 1827)",,,G5,"S3B,S3N",,,Watch List,,,,,,,,,,,,,,
AB,Vermivora chrysoptera,Golden-winged Warbler,"Vermivora chrysopteraÿ(Linnaeus, 1766)",,,G4,S3B,,,Watch List,,,,,,,,,,,,,,
AB,Vermivora cyanoptera,Blue-winged Warbler,"Vermivora cyanopteraÿOlson and Reveal, 2009",Vermivora pinus,,G5,S3B,,,Watch List,,,,,,,,,,,,,,
AF,Ambloplites cavifrons,Roanoke Bass,"Ambloplites cavifronsÿCope, 1868",,,G3,S3,,,Watch List,,,,,,,,,,,,,,
AF,Chologaster cornuta,Swampfish,"Chologaster cornutaÿAgassiz, 1853",,,G5,S3,,,Watch List,,,,,,,,,,,,,,
AF,Cottus kanawhae,Kanawha Sculpin,"Cottus kanawhaeÿRobins, 2005",,,G4,S3,,,Watch List,,,,,,,,,,,,,,
AF,Enneacanthus obesus,Banded Sunfish,"Enneacanthus obesusÿ(Girard, 1854)",,,G5,S3,,,Watch List,,,,,,,,,,,,,,
AF,Erimystax dissimilis,Streamline Chub,"Erimystax dissimilisÿ(Kirtland, 1840)",Hybopsis dissimilis,,G4,S3,,,Watch List,,,,,,,,,,,,,,
AF,Erimystax insignis,Blotched Chub,"Erimystax insignisÿ(Hubbs and Crowe, 1956)",Hybopsis insignis,,G4,S3,,,Watch List,,,,,,,,,,,,,,
AF,Etheostoma kanawhae,Kanawha Darter,"Etheostoma kanawhaeÿ(Raney, 1941)",,,G4,S3,,,Watch List,,,,,,,,,,,,,,
AF,Etheostoma simoterum,Snubnose Darter,"Etheostoma simoterumÿ(Cope, 1868)",Etheostoma tennesseense,,G5,S3,,,Watch List,,,,,,,,,,,,,,
