GRPSORT,SNAME,COMMON_NAME,Author,synname,ALTSYN,GRANK,SRANK,FEDSTAT,SPROT,TRK,,,,,,,,,,,,,,
AB,Melospiza georgiana georgiana,Swamp Sparrow,"Melospiza georgiana georgianaÿ(Latham, 1790)",,,G5T5,"S1B,S4S5N",,,Rare List,,,,,,,,,,,,,,
AB,Melospiza georgiana nigrescens,Coastal plain swamp sparrow,"Melospiza georgiana nigrescensÿBond and Stewart, 1951",,,G5T3,S1B,,,Rare List,,,,,,,,,,,,,,
AB,Mergus merganser,Common Merganser,"Mergus merganserÿLinnaeus, 1758",,,G5,"S2B,S4N",,,Rare List,,,,,,,,,,,,,,
AB,Nyctanassa violacea,Yellow-crowned Night-heron,"Nyctanassa violaceaÿ(Linnaeus, 1758)",Nycticorax violaceus,,G5,"S2S3B,S3N",,,Rare List,,,,,,,,,,,,,,
AB,Oreothlypis ruficapilla,Nashville Warbler,"Oreothlypis ruficapillaÿ(Wilson, 1811)",Vermivora ruficapilla,,G5,S1B,,,Rare List,,,,,,,,,,,,,,
AB,Parkesia noveboracensis,Northern Waterthrush,"Parkesia noveboracensisÿ(Gmelin, 1789)",Seiurus noveboracensis,,G5,S1B,,,Rare List,,,,,,,,,,,,,,
AB,Pelecanus occidentalis,Brown Pelican,"Pelecanus occidentalisÿLinnaeus, 1766",,,G4,"S2B,S3N",,,Rare List,,,,,,,,,,,,,,
AB,Peucaea aestivalis,Bachman's Sparrow,"Peucaea aestivalisÿ(Lichtenstein, 1823)",Aimophila aestivalis,,G3,SHB,,LT,Rare List,,,,,,,,,,,,,,
AB,Plegadis falcinellus,Glossy Ibis,"Plegadis falcinellusÿ(Linnaeus, 1766)",,,G5,"S1S2B,S1N",,,Rare List,,,,,,,,,,,,,,
AB,Podilymbus podiceps,Pied-billed Grebe,"Podilymbus podicepsÿ(Linnaeus, 1758)",,,G5,"S1B,S4N",,,Rare List,,,,,,,,,,,,,,
AB,Porzana carolina,Sora,"Porzana carolinaÿ(Linnaeus, 1758)",,,G5,"S1B,S2N",,,Rare List,,,,,,,,,,,,,,
AB,Rallus elegans,King Rail,"Rallus elegansÿAudubon, 1834",,,G4,"S2B,S3N",,,Rare List,,,,,,,,,,,,,,
AB,Rallus limicola,Virginia Rail,"Rallus limicolaÿVieillot, 1819",,,G5,"S2B,S3N",,,Rare List,,,,,,,,,,,,,,
AB,Regulus satrapa,Golden-crowned Kinglet,"Regulus satrapaÿLichtenstein, 1823",,,G5,"S2B,S5N",,,Rare List,,,,,,,,,,,,,,
AB,Rynchops niger,Black Skimmer,"Rynchops nigerÿLinnaeus, 1758",,,G5,"S2B,S1N",,,Rare List,,,,,,,,,,,,,,
AB,Setophaga magnolia,Magnolia Warbler,"Setophaga magnoliaÿ(Wilson, 1811)",Dendroica magnolia,,G5,S2B,,,Rare List,,,,,,,,,,,,,,
AB,Setophaga virens waynei,Wayne's Black-throated Green Warbler,"Setophaga virens wayneiÿ(Bangs, 1918)",Dendroica virens waynei,,G5T1,S1B,,,Rare List,,,,,,,,,,,,,,
AB,Spatula discors,Blue-winged Teal,"Spatula discorsÿ(Linnaeus, 1766)",Anas discors,,G5,"S1B,S2N",,,Rare List,,,,,,,,,,,,,,
AB,Sphyrapicus varius,Yellow-bellied Sapsucker,"Sphyrapicus variusÿ(Linnaeus, 1766)",,,G5,"S1B,S4N",,,Rare List,,,,,,,,,,,,,,
AB,Sterna dougallii,Roseate Tern,"Sterna dougalliiÿMontagu, 1813",,,G4,SHB,LE,LE,Rare List,,,,,,,,,,,,,,
AB,Sterna hirundo,Common Tern,"Sterna hirundoÿLinnaeus, 1758",,,G5,S2B,,,Rare List,,,,,,,,,,,,,,
AB,Sternula antillarum,Least Tern,"Sternula antillarumÿLesson, 1847",Sterna antillarum,,G4,S2B,,,Rare List,,,,,,,,,,,,,,
AB,Thalasseus maximus,Royal Tern,"Thalasseus maximusÿ(Boddaert, 1783)",Sterna maxima,,G5,S1B,,,Rare List,,,,,,,,,,,,,,
AB,Thalasseus sandvicensis,Sandwich Tern,"Thalasseus sandvicensisÿ(Latham, 1787)",Sterna sandvicensis,,G5,S1B,,,Rare List,,,,,,,,,,,,,,
AB,Thryomanes bewickii altus,Appalachian Bewick's Wren,"Thryomanes bewickii altusÿAldrich, 1944",,,G5T2Q,SHB,,LE,Rare List,,,,,,,,,,,,,,
AB,Troglodytes hiemalis,Winter Wren,"Troglodytes hiemalisÿVieillot, 1819",Troglodytes troglodytes(in part),,G5,"S2B,S4N",,,Rare List,,,,,,,,,,,,,,
AF,Acipenser brevirostrum,Shortnose Sturgeon,"Acipenser brevirostrumÿLeSueur, 1818",,,G3,"SHB,S1N",LE,LE,Rare List,,,,,,,,,,,,,,
AF,Acipenser oxyrinchus,Atlantic Sturgeon,"Acipenser oxyrinchusÿMitchill, 1815",,=ÿAcipenser oxyrhynchus,G3,S2,LE,LE,Rare List,,,,,,,,,,,,,,
AF,Allohistium cinereum,Ashy Darter,"Allohistium cinereumÿ(Storer, 1845)",Etheostoma cinereum,,G2G3,S1,,,Rare List,,,,,,,,,,,,,,
AF,Ameiurus brunneus,Snail Bullhead,"Ameiurus brunneusÿJordan, 1877",,,G4,S2,,,Rare List,,,,,,,,,,,,,,
AF,Ammocrypta clara,Western Sand Darter,"Ammocrypta claraÿJordan and Meek, 1885",Etheostoma clarum,,G3,S1,,LT,Rare List,,,,,,,,,,,,,,
AF,Aplodinotus grunniens,Freshwater Drum,"Aplodinotus grunniensÿRafinesque, 1819",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
AF,Chrosomus cumberlandensis,Blackside Dace,"Chrosomus cumberlandensisÿ(Starnes and Starnes, 1978)",Phoxinus cumberlandensis,,G2,S1,LT,LT,Rare List,,,,,,,,,,,,,,
AF,Chrosomus sp. 1,Clinch dace,Chrosomusÿsp. 1,,,G1,S1,,,Rare List,,,,,,,,,,,,,,
AF,Chrosomus tennesseensis,Tennessee Dace,"Chrosomus tennesseensisÿ(Starnes and Jenkins, 1988)",Phoxinus tennesseensis,,G3,S1,,LE,Rare List,,,,,,,,,,,,,,
AF,Cottus baileyi,Black Sculpin,"Cottus baileyiÿRobins, 1961",,,G4Q,S2,,,Rare List,,,,,,,,,,,,,,
AF,Cottus cognatus,Slimy Sculpin,"Cottus cognatusÿRichardson, 1836",,,G5,S2,,,Rare List,,,,,,,,,,,,,,
AF,Cottus sp. 1,Bluestone Sculpin,Cottusÿsp. 1,,,G2,S2,,,Rare List,,,,,,,,,,,,,,
AF,Cottus sp. 4,Clinch Sculpin,Cottusÿsp. 4,,,G1G2,S1S2,,,Rare List,,,,,,,,,,,,,,
AF,Cottus sp. 5,Holston Sculpin,Cottusÿsp. 5,,,G2,S2,,,Rare List,,,,,,,,,,,,,,
AF,Cyprinella labrosa,Thicklip Chub,"Cyprinella labrosaÿ(Cope, 1870)",Hybopsis labrosa,,G4,SH,,,Rare List,,,,,,,,,,,,,,
